"Year","May_FFDI"
1950,6.33408799935213
1951,14.3340688721958
1952,11.0205834407311
1953,21.0738793657972
1954,11.4852853409656
1955,10.3328916789133
1956,3.15390939655758
1957,18.2446175467916
1958,15.5594354687315
1959,17.4050269168177
1960,5.52601635404479
1961,14.7948802374142
1962,19.004698125831
1963,11.7076162074035
1964,8.09923876673628
1965,12.4397182753592
1966,18.3389785279443
1967,16.5867905100703
1968,6.40931523568702
1969,18.5800312029851
1970,6.74027882716356
1971,10.1593005646875
1972,17.3003596433829
1973,11.0282495166316
1974,3.70061265157931
1975,27.1048079858095
1976,19.7683875963285
1977,16.9088316149526
1978,32.3639620000666
1979,10.6969458819468
1980,8.19645209900744
1981,24.2198480465711
1982,25.4492245339728
1983,4.88460451880575
1984,11.9777479708453
1985,17.4353302216633
1986,7.77850413632083
1987,7.54143155808057
1988,10.2634273050151
1989,5.86561570023045
1990,34.2327398407511
1991,15.2023865918576
1992,12.1291177953993
1993,17.748720049342
1994,45.3163327468938
1995,10.4049218991102
1996,21.7205529729009
1997,17.7383541668648
1998,9.39261221369624
1999,23.5063230877831
2000,11.77897863161
2001,17.9406537183952
2002,26.6928914388021
2003,13.8669878517911
2004,16.7224832819654
2005,24.3301113260773
2006,8.23963885905939
2007,9.98695321619769
2008,13.0088016439826
2009,10.3512679529396
2010,15.0359551896265
2011,15.9060407510568
2012,23.3638307645723
2013,26.0636943387779
2014,17.8453637903387
2015,19.557199160258
2016,16.8806741124108
2017,7.44508070966382
2018,21.3706239436096
2019,11.2295239312308
2020,20.2911660165498
