"Year","Sept_FFDI"
1950,14.8659443999782
1951,10.3159472911389
1952,8.50799787508977
1953,7.09707218227964
1954,15.7059556075505
1955,8.77668151814184
1956,5.94248807688296
1957,23.9003550479938
1958,8.93884019108562
1959,14.3488680521647
1960,5.49470161591773
1961,41.1068571842078
1962,23.2228804625474
1963,6.53333228594297
1964,7.79838135386958
1965,15.9145168226003
1966,10.3024218030822
1967,18.5446662262921
1968,15.5142988353581
1969,6.80655487378438
1970,9.15169784104153
1971,8.66730253004924
1972,32.4854565740148
1973,10.3189532230427
1974,7.32846665795231
1975,17.2763546225312
1976,27.9033668691462
1977,20.0256924773708
1978,8.75961126599993
1979,4.73767968328484
1980,25.0241309698526
1981,16.2933976227071
1982,42.7988684105151
1983,9.56952247165498
1984,11.4715811029657
1985,21.7610464054785
1986,10.5885628250254
1987,28.2091241894346
1988,17.375677327573
1989,11.8036837784243
1990,14.7044648608088
1991,11.672900808838
1992,8.52521347225487
1993,8.5310789042221
1994,25.2443013418288
1995,12.3863540769139
1996,18.1313563879434
1997,5.59237827263869
1998,21.1906135051281
1999,24.1019456211107
2000,14.4083503562135
2001,21.9051831645883
2002,68.4868816606926
2003,13.6191524323963
2004,18.7840124559609
2005,9.45930292596033
2006,61.4604399544852
2007,25.903816541036
2008,26.2458821457702
2009,50.7379479346337
2010,5.61021815440355
2011,42.2193631671724
2012,27.1009705159571
2013,16.6441736303883
2014,70.8494921019583
2015,30.885174565501
2016,7.97816469968655
2017,26.5168416737478
2018,38.6145403312914
2019,13.9723621178499
