"Year","Sept_FFDI"
1950,14.8659443999782
1954,15.7059556075505
1955,8.77668151814184
1964,7.79838135386958
1967,18.5446662262921
1970,9.15169784104153
1971,8.66730253004924
1973,10.3189532230427
1975,17.2763546225312
1983,9.56952247165498
1984,11.4715811029657
1988,17.375677327573
1995,12.3863540769139
1998,21.1906135051281
1999,24.1019456211107
2000,14.4083503562135
2005,9.45930292596033
2007,25.903816541036
2008,26.2458821457702
2010,5.61021815440355
2011,42.2193631671724
2017,26.5168416737478
