"Year","May_FFDI"
1953,21.0738793657972
1957,18.2446175467916
1958,15.5594354687315
1963,11.7076162074035
1965,12.4397182753592
1968,6.40931523568702
1972,17.3003596433829
1976,19.7683875963285
1977,16.9088316149526
1979,10.6969458819468
1982,25.4492245339728
1986,7.77850413632083
1987,7.54143155808057
1991,15.2023865918576
1994,45.3163327468938
1997,17.7383541668648
2002,26.6928914388021
2004,16.7224832819654
2006,8.23963885905939
2009,10.3512679529396
2015,19.557199160258
2018,21.3706239436096
