"Year","August_FFDI"
1950,5.62378740723515
1954,17.5582294691177
1955,3.25692653139948
1964,9.10078676335223
1967,7.70057779782778
1970,11.1504475502741
1971,6.37338870634764
1973,3.39265483127528
1975,23.1043627767852
1983,4.25455421080321
1984,10.1121679549609
1988,6.94074587182049
1995,9.73989698277923
1998,7.69569508699112
1999,9.8962571951218
2000,7.66067851363839
2005,27.1470345996675
2007,28.986199304655
2008,8.2205821920783
2010,4.83977632192306
2011,12.9428071500935
2017,9.2888220703447
