"Year","Sept_FFDI"
1951,10.3159472911389
1952,8.50799787508977
1956,5.94248807688296
1959,14.3488680521647
1960,5.49470161591773
1961,41.1068571842078
1962,23.2228804625474
1966,10.3024218030822
1969,6.80655487378438
1974,7.32846665795231
1978,8.75961126599993
1980,25.0241309698526
1981,16.2933976227071
1985,21.7610464054785
1989,11.8036837784243
1990,14.7044648608088
1992,8.52521347225487
1993,8.5310789042221
1996,18.1313563879434
2001,21.9051831645883
2003,13.6191524323963
2012,27.1009705159571
2013,16.6441736303883
2014,70.8494921019583
2016,7.97816469968655
2019,13.9723621178499
