"Year","May_FFDI"
1950,6.33408799935213
1954,11.4852853409656
1955,10.3328916789133
1964,8.09923876673628
1967,16.5867905100703
1970,6.74027882716356
1971,10.1593005646875
1973,11.0282495166316
1975,27.1048079858095
1983,4.88460451880575
1984,11.9777479708453
1988,10.2634273050151
1995,10.4049218991102
1998,9.39261221369624
1999,23.5063230877831
2000,11.77897863161
2005,24.3301113260773
2007,9.98695321619769
2008,13.0088016439826
2010,15.0359551896265
2011,15.9060407510568
2017,7.44508070966382
