"Year","July_FFDI"
1953,5.67013944485487
1957,9.07124185871768
1958,8.87332814699644
1963,3.76313625940513
1965,4.49344724906987
1968,4.2586660467701
1972,7.05587540766894
1976,13.162371249426
1977,8.40214510397478
1979,8.01983394560876
1982,11.2613458509569
1986,2.96454707420234
1987,4.62814541296525
1991,5.04256872800522
1994,14.6485982746273
1997,12.0772173167307
2002,16.7793108787371
2004,9.48598541532244
2006,17.9736594679036
2009,9.9874211317533
2015,6.54794388932067
2018,13.8244590119366
